prfInformationCarrier,prfYear,prfMonth,prfPrdOilGrossMillSm3,prfPrdGasGrossBillSm3,prfPrdCondensateGrossMillSm3,prfPrdOeGrossMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
33/9-6 DELTA,2012,5,0.00035,5.9999999999999995e-05,0.0,0.0004,0.00022999999999999998,44576
33/9-6 DELTA,2012,6,0.0014199999999999998,0.00022999999999999998,0.0,0.00165,0.00025,44576
33/9-6 DELTA,2012,7,0.00251,0.0004,0.0,0.00292,0.00047999999999999996,44576
33/9-6 DELTA,2012,8,0.00147,0.00023999999999999998,0.0,0.0017,0.00026000000000000003,44576
33/9-6 DELTA,2012,9,9e-05,1e-05,0.0,0.0001,2e-05,44576
33/9-6 DELTA,2012,10,0.0023,0.00037,0.0,0.00267,0.0004,44576
33/9-6 DELTA,2012,11,0.00168,0.00027,0.0,0.00195,0.00035,44576
33/9-6 DELTA,2012,12,0.00095,0.00015,0.0,0.0011,0.00021,44576
33/9-6 DELTA,2013,1,0.00047000000000000004,7e-05,0.0,0.00054,0.0001,44576
33/9-6 DELTA,2013,2,0.0,0.0,0.0,0.0,0.0,44576
33/9-6 DELTA,2013,3,0.0008,0.00013000000000000002,0.0,0.00093,0.00016999999999999999,44576
33/9-6 DELTA,2013,4,0.0007,0.00011,0.0,0.00081,0.00016,44576
33/9-6 DELTA,2013,5,0.00032,5e-05,0.0,0.00037,9e-05,44576
33/9-6 DELTA,2013,6,0.00045,7e-05,0.0,0.0005200000000000001,0.0001,44576
33/9-6 DELTA,2013,7,0.00032,5e-05,0.0,0.00037999999999999997,8e-05,44576
33/9-6 DELTA,2013,8,0.0004,5.9999999999999995e-05,0.0,0.00047000000000000004,0.0,44576
33/9-6 DELTA,2013,9,0.00086,0.00014,0.0,0.001,0.0,44576
33/9-6 DELTA,2013,10,2e-05,0.0,0.0,2e-05,0.0,44576
33/9-6 DELTA,2013,11,0.0,0.0,0.0,0.0,0.0,44576
33/9-6 DELTA,2013,12,0.0009199999999999999,0.00015,0.0,0.00106,0.0,44576
33/9-6 DELTA,2014,1,0.0008900000000000001,0.00014,0.0,0.00103,1e-05,44576
33/9-6 DELTA,2014,2,5e-05,1e-05,0.0,5.9999999999999995e-05,0.0,44576
7220/11-1 (Alta),2018,7,0.01855,0.00195,0.0,0.0205,0.00015,25288497
7220/11-1 (Alta),2018,8,0.04349,0.0048200000000000005,0.0,0.04832,0.0005,25288497
7220/11-1 (Alta),2018,9,0.04389,0.00588,0.0,0.04977,0.00247,25288497
ALBUSKJELL,1979,5,0.00504,0.00853,0.0,0.01356,0.0,43437
ALBUSKJELL,1979,6,0.0132,0.02365,0.0,0.03685,0.0,43437
ALBUSKJELL,1979,7,0.04049,0.060820000000000006,0.0,0.10131,0.0,43437
ALBUSKJELL,1979,8,0.10943,0.13822,0.0,0.24765,0.0,43437
ALBUSKJELL,1979,9,0.12278,0.14866,0.0,0.27144,0.0,43437
ALBUSKJELL,1979,10,0.07993,0.09196,0.0,0.17189000000000002,0.0,43437
ALBUSKJELL,1979,11,0.12738,0.1364,0.0,0.26378,0.0,43437
ALBUSKJELL,1979,12,0.10452,0.11752,0.0,0.22204000000000002,0.0,43437
ALBUSKJELL,1980,1,0.13938,0.15645,0.0,0.29583000000000004,0.0,43437
ALBUSKJELL,1980,2,0.14892,0.16868,0.0,0.3176,0.0,43437
ALBUSKJELL,1980,3,0.15087,0.16965,0.0,0.32051999999999997,0.0,43437
ALBUSKJELL,1980,4,0.12985,0.1466,0.0,0.27645,0.0,43437
ALBUSKJELL,1980,5,0.15528,0.17561,0.0,0.33088,0.0,43437
ALBUSKJELL,1980,6,0.16033,0.17898,0.0,0.33931,0.0,43437
ALBUSKJELL,1980,7,0.06937,0.07132000000000001,0.0,0.1407,0.0,43437
ALBUSKJELL,1980,8,0.15104,0.17887999999999998,0.0,0.32992,0.0,43437
ALBUSKJELL,1980,9,0.15244000000000002,0.17982,0.0,0.33226,0.0,43437
ALBUSKJELL,1980,10,0.14279,0.18005,0.0,0.32283,0.0,43437
ALBUSKJELL,1980,11,0.13476,0.16609000000000002,0.0,0.30084,0.0,43437
ALBUSKJELL,1980,12,0.13742000000000001,0.17245,0.0,0.30985999999999997,0.0,43437
ALBUSKJELL,1981,1,0.13334000000000001,0.17033,0.0,0.30367,0.0,43437
ALBUSKJELL,1981,2,0.13469,0.16743,0.0,0.30211,0.0,43437
ALBUSKJELL,1981,3,0.16914,0.21081999999999998,0.0,0.37995,0.0,43437
ALBUSKJELL,1981,4,0.15325,0.19927999999999998,0.0,0.35253,0.0,43437
ALBUSKJELL,1981,5,0.15528,0.2047,0.0,0.35998,0.0,43437
ALBUSKJELL,1981,6,0.14844000000000002,0.21101,0.0,0.35946,0.0,43437
ALBUSKJELL,1981,7,0.15700999999999998,0.2244,0.0,0.38140999999999997,0.0,43437
ALBUSKJELL,1981,8,0.06112000000000001,0.08592999999999999,0.0,0.14705,0.0,43437
ALBUSKJELL,1981,9,0.17031,0.2633,0.0,0.43361000000000005,0.0,43437
ALBUSKJELL,1981,10,0.13805,0.22232,0.0,0.36036999999999997,0.0,43437
ALBUSKJELL,1981,11,0.14193,0.22011999999999998,0.0,0.36205,0.0,43437
ALBUSKJELL,1981,12,0.1562,0.25686,0.0,0.41306000000000004,0.0,43437
ALBUSKJELL,1982,1,0.1496,0.25584,0.0,0.40544,0.0,43437
ALBUSKJELL,1982,2,0.12492,0.21841999999999998,0.0,0.34334000000000003,0.0,43437
ALBUSKJELL,1982,3,0.13377,0.23023000000000002,0.0,0.364,0.0,43437
ALBUSKJELL,1982,4,0.11760999999999999,0.19723,0.0,0.31484,0.0,43437
ALBUSKJELL,1982,5,0.10015,0.1763,0.0,0.27646,0.0,43437
ALBUSKJELL,1982,6,0.11585,0.20123,0.0,0.31708000000000003,0.0,43437
ALBUSKJELL,1982,7,0.10355999999999999,0.18604,0.0,0.2896,0.0,43437
ALBUSKJELL,1982,8,0.08544,0.15475,0.0,0.24018,0.0,43437
ALBUSKJELL,1982,9,0.07452,0.13994,0.0,0.21445,0.0,43437
ALBUSKJELL,1982,10,0.06632,0.12057999999999999,0.0,0.18689,0.0,43437
ALBUSKJELL,1982,11,0.07509,0.14731,0.0,0.2224,0.0,43437
ALBUSKJELL,1982,12,0.08273,0.15465,0.0,0.23739000000000002,0.0,43437
ALBUSKJELL,1983,1,0.08145,0.14945,0.0,0.2309,0.0,43437
ALBUSKJELL,1983,2,0.08426,0.15186,0.0,0.23611999999999997,0.0,43437
ALBUSKJELL,1983,3,0.09508,0.17105,0.0,0.26613000000000003,0.0,43437
ALBUSKJELL,1983,4,0.08821,0.1565,0.0,0.24470999999999998,0.0,43437
ALBUSKJELL,1983,5,0.08375,0.15659,0.0,0.24035,0.0,43437
ALBUSKJELL,1983,6,0.08204,0.15417,0.0,0.23621,0.0,43437
ALBUSKJELL,1983,7,0.08249,0.16489,0.0,0.24738000000000002,0.0,43437
ALBUSKJELL,1983,8,0.07272,0.14321,0.0,0.21594000000000002,0.0,43437
ALBUSKJELL,1983,9,0.07121,0.13827,0.0,0.20948000000000003,0.0,43437
ALBUSKJELL,1983,10,0.07295,0.14765999999999999,0.0,0.22061,0.0,43437
ALBUSKJELL,1983,11,0.07077,0.13681,0.0,0.20758000000000001,0.0,43437
ALBUSKJELL,1983,12,0.06989,0.13833,0.0,0.20823000000000003,0.0,43437
ALBUSKJELL,1984,1,0.06738999999999999,0.14044,0.0,0.20781999999999998,0.0,43437
ALBUSKJELL,1984,2,0.06255,0.12259,0.0,0.18514,0.0,43437
ALBUSKJELL,1984,3,0.06491,0.12753,0.0,0.19244,0.0,43437
ALBUSKJELL,1984,4,0.061939999999999995,0.11782000000000001,0.0,0.17976,0.0,43437
ALBUSKJELL,1984,5,0.06147999999999999,0.11565,0.0,0.17712999999999998,0.0,43437
ALBUSKJELL,1984,6,0.0514,0.09719,0.0,0.14859,0.0,43437
ALBUSKJELL,1984,7,0.05038,0.09765,0.0,0.14803,0.0,43437
ALBUSKJELL,1984,8,0.03888,0.0772,0.0,0.11607999999999999,0.0,43437
ALBUSKJELL,1984,9,0.04723,0.10614000000000001,0.0,0.15336,0.0,43437
ALBUSKJELL,1984,10,0.0475,0.10304,0.0,0.15054,0.0,43437
ALBUSKJELL,1984,11,0.04467,0.09638,0.0,0.14105,0.0,43437
ALBUSKJELL,1984,12,0.04659,0.09673,0.0,0.14332,0.0,43437
ALBUSKJELL,1985,1,0.04747,0.10602,0.0,0.15349000000000002,0.0,43437
ALBUSKJELL,1985,2,0.04403,0.09065,0.0,0.13469,0.0,43437
ALBUSKJELL,1985,3,0.04881,0.09798,0.0,0.14678,0.0,43437
ALBUSKJELL,1985,4,0.04487,0.09651,0.0,0.14139000000000002,0.0,43437
ALBUSKJELL,1985,5,0.045239999999999995,0.09713,0.0,0.14237,0.0,43437
ALBUSKJELL,1985,6,0.03935,0.08553999999999999,0.0,0.12489000000000001,0.0,43437
ALBUSKJELL,1985,7,0.04251,0.09495,0.0,0.13746,0.0,43437
ALBUSKJELL,1985,8,0.0423,0.0918,0.0,0.1341,0.0,43437
ALBUSKJELL,1985,9,0.04055,0.08693,0.0,0.12747999999999998,0.0,43437
ALBUSKJELL,1985,10,0.042,0.09797,0.0,0.13997,0.0,43437
ALBUSKJELL,1985,11,0.04086,0.09304,0.0,0.1339,0.0,43437
